Season,Tm,Lg,G,W,L,W/L%,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
1996-97,SAC,NBA,82,34,48,0.415,-3.38,-0.26,-3.64,91,105,108.7,0.485,15,32,0.226,0.495,14.3,31.5,0.264
1996-97,SAS,NBA,82,20,62,0.244,-7.88,-0.05,-7.93,87.3,103.3,112.3,0.472,14.7,32.4,0.217,0.514,14,33,0.236
1996-97,SEA*,NBA,82,57,25,0.695,7.68,-0.77,6.91,90.3,111.2,102.7,0.51,14.2,30.9,0.269,0.49,17.7,30.9,0.242
1996-97,TOR,NBA,82,30,52,0.366,-3.12,0.57,-2.56,90.6,104.6,108,0.481,15.2,32.5,0.218,0.504,15.3,31.4,0.258
1996-97,UTA*,NBA,82,64,18,0.78,8.79,-0.82,7.97,90,113.6,104,0.53,14.7,29.7,0.299,0.48,15.5,28.4,0.29
1996-97,VAN,NBA,82,14,68,0.171,-10.23,0.06,-10.17,88.4,100.3,111.8,0.471,15.3,29.7,0.191,0.51,14.4,35.9,0.224
1996-97,WSB*,NBA,82,44,38,0.537,1.62,0.15,1.77,92.4,106.6,104.9,0.505,14.6,30.2,0.21,0.491,15.3,29.7,0.226
1997-98,ATL*,NBA,82,50,32,0.61,3.51,0.34,3.85,87.7,108.2,104.3,0.481,14.1,33.9,0.275,0.468,13,30.9,0.194
1997-98,BOS,NBA,82,36,46,0.439,-2.62,0.66,-1.96,93.3,102.6,105.4,0.464,14.6,32.8,0.206,0.504,19,33.2,0.343
1997-98,CHH*,NBA,82,51,31,0.622,2,0.45,2.45,89.4,107.5,105.3,0.495,14.6,30.4,0.259,0.493,14.6,29.2,0.224
1997-98,CHI*,NBA,82,62,20,0.756,7.11,0.13,7.24,89,107.7,99.8,0.473,13.3,35.7,0.219,0.457,14.7,29.4,0.22
1997-98,CLE*,NBA,82,47,35,0.573,2.73,0.33,3.06,89.9,102.2,99.1,0.478,16.5,30,0.266,0.46,16.8,28.9,0.264
1997-98,DAL,NBA,82,20,62,0.244,-6.11,-0.22,-6.33,89.9,100.5,107.2,0.458,13.6,27.6,0.194,0.488,14,34.9,0.195
1997-98,DEN,NBA,82,11,71,0.134,-11.78,0.04,-11.74,89.7,99,112.1,0.44,15.1,30.2,0.259,0.506,14.3,33.7,0.285
1997-98,DET,NBA,82,37,45,0.451,1.57,0.37,1.95,88.2,105.3,103.5,0.472,14,30.9,0.267,0.474,14.8,29.8,0.243
1997-98,GSW,NBA,82,19,63,0.232,-9.12,-0.08,-9.2,91.4,95.8,105.7,0.427,15.1,33.7,0.197,0.469,13,31.4,0.247
1997-98,HOU*,NBA,82,41,41,0.5,-0.76,-0.47,-1.23,91,107.7,108.6,0.496,14.8,29.8,0.251,0.499,13.3,30.7,0.208
1997-98,IND*,NBA,82,58,24,0.707,6.09,0.16,6.25,87.9,108.4,101.6,0.502,14,27.9,0.262,0.453,14.4,32.2,0.236
1997-98,LAC,NBA,82,17,65,0.207,-7.37,-0.16,-7.53,92.4,103.3,111.2,0.477,14.8,29.6,0.221,0.498,12.9,33.9,0.243
1997-98,LAL*,NBA,82,61,21,0.744,7.74,-0.87,6.88,93.6,111.9,103.7,0.519,14,31.6,0.285,0.467,14.1,31.2,0.245
1997-98,MIA*,NBA,82,55,27,0.671,4.93,0.16,5.09,87.9,107.6,102,0.494,14.5,31.5,0.243,0.452,14.2,30.4,0.257
1997-98,MIL,NBA,82,36,46,0.439,-1.91,0.58,-1.33,90.2,103.5,105.6,0.475,15.8,31.4,0.26,0.485,15.5,30.9,0.282
1997-98,MIN*,NBA,82,45,37,0.549,0.71,-0.54,0.17,92.6,107.8,107.1,0.483,12.7,30.6,0.244,0.48,13.5,31.5,0.24
1997-98,NJN*,NBA,82,43,39,0.524,1.57,0.31,1.88,91,108.3,106.6,0.463,12.9,36.7,0.253,0.499,16.7,33.6,0.258
